322,"Alquibla","Documentary"
696,"Angela ja ajan tuulet","Drama"
2234,"Años perdidos, Los","Drama"
2399,"Banda de Cantaniño, La","Family"
2400,"Banda de Cantaniño, La","Musical"
3164,"Adventures of Mark & Brian, The","Comedy"
3180,"Adventures of Sam, The","Family"
5283,"Bradys, The","Drama"
5342,"BreakThrough: The Changing Face of Science in America","Documentary"
6392,"Coronet Blue","Mystery"
6744,"Cutter to Houston","Drama"
6875,"Fjernsyn","Family"
7416,"Funny Boners","Family"
7689,"General Hospital","Drama"
7690,"General Hospital","Drama"
8150,"Grande Família, A","Comedy"
8151,"Grande Família, A","Comedy"
8159,"Grandes ilusiones","Drama"
8405,"H.O.P.L.A.","Family"
10031,"Edge of Night, The","Crime"
10032,"Edge of Night, The","Drama"
10070,"Eglimata","Comedy"
10892,"Intrepid Journeys","Adventure"
10893,"Intrepid Journeys","Documentary"
11371,"Kinyoubi no tsumatachie II: Otokotachi yo genki kai?","Drama"
11372,"Kinyoubi no tsumatachie II: Otokotachi yo genki kai?","Romance"
11609,"Koze","Drama"
12135,"He Wai","Musical"
12136,"He Wai","Comedy"
12137,"He Wai","Family"
12251,"Help!","Comedy"
12562,"Hjem til fem","Comedy"
12563,"Hjem til fem","Drama"
13013,"Jesse Hawkes","Adventure"
13692,"Keep Posted","Documentary"
13740,"Meister Eder und sein Pumuckl","Comedy"
13741,"Meister Eder und sein Pumuckl","Family"
13924,"Mi marido y mi padrino","Comedy"
15366,"New Adventures of Lucky Jim, The","Comedy"
15854,"Littles, The","Animation"
16616,"Man Alive","Documentary"
18203,"Ramayan","Adventure"
18204,"Ramayan","Drama"
18205,"Ramayan","Fantasy"
19904,"Over Time","Drama"
19905,"Over Time","Romance"
20239,"Patty's Posse","Documentary"
20240,"Patty's Posse","Family"
22345,"Se på tegnsprog","Family"
22430,"Slapstick and Old Lace","Comedy"
24861,"Toda una vida","Drama"
25270,"Trials of Rosie O'Neill, The","Drama"
25724,"Un per l'altre, L'","Comedy"
26935,"White Peak Farm","Drama"
27538,"Yokai ningen bem","Horror"
27618,"Young Sherlock: The Mystery of the Manor House","Family"
27619,"Young Sherlock: The Mystery of the Manor House","Drama"
28765,"100 Pigmies and Andy Panda (1940)","Family"
28766,"100 Pigmies and Andy Panda (1940)","Animation"
28767,"100 Pigmies and Andy Panda (1940)","Short"
28768,"100 Pigmies and Andy Panda (1940)","Comedy"
29383,"1857 (1946)","Drama"
29613,"2 On 1 (1998) (V)","Adult"
30109,"2º Centenário do Jardim Guerra Junqueiro (1952)","Documentary"
30374,"34-j skoryj (1981)","Action"
30480,"4 aventures de Reinette et Mirabelle (1987)","Comedy"
30481,"4 aventures de Reinette et Mirabelle (1987)","Drama"
30900,"58.2/B (1958)","Short"
31405,"9:30 (2003)","Short"
31520,"A kuca zvoni li zvoni (1971)","Documentary"
31521,"A kuca zvoni li zvoni (1971)","Short"
31729,"A&E Biography: Caligula - Reign of Madness (2000) (TV)","Documentary"
33327,"Accidente (1965)","Drama"
33328,"Accidente (1965)","Short"
34207,"Addicted to Love (1988)","Adult"
34224,"Addio a Enrico Berlinguer, L' (1984)","Documentary"
34225,"Addio a Enrico Berlinguer, L' (1984)","Short"
34303,"Adieu au pirate, L' (2003)","Short"
35210,"Aeg maha (1984)","Animation"
35211,"Aeg maha (1984)","Short"
36501,"Agroindustrijska proizvodnja hrane u Jugoslaviji (1977)","Documentary"
36502,"Agroindustrijska proizvodnja hrane u Jugoslaviji (1977)","Short"
36553,"Agujetas en el alma (1998)","Comedy"
37046,"Air-Tight (1931)","Comedy"
37047,"Air-Tight (1931)","Short"
37075,"Aircraft Wood Repair, Part 2: Stiffener Patch (1943)","Documentary"
37188,"Ajia himitsu keisatsu (1966)","Drama"
38097,"Aldrig mera krig (1984)","Documentary"
38098,"Aldrig mera krig (1984)","Short"
39502,"All Mine to Give (1958)","Drama"
39565,"All or Nothing (1998)","Short"
39798,"All Wet (1930)","Comedy"
39799,"All Wet (1930)","Short"
41197,"Amantes frios, Los (1978)","Comedy"
41198,"Amantes frios, Los (1978)","Drama"
41207,"Amanti (1968)","Drama"
41208,"Amanti (1968)","Romance"
41232,"Amants du Tage, Les (1955)","Romance"
41233,"Amants du Tage, Les (1955)","Drama"
41256,"Amar Raj (1946)","Musical"
41289,"Amartoles (1962)","Crime"
41290,"Amartoles (1962)","Drama"
41382,"Amatrice violée, L' (1993)","Adult"
42434,"Amiche del cuore, Le (1992)","Drama"
42849,"Amore imperfetto, L' (2002)","Drama"
43038,"Amoureux, Les (1994)","Drama"
43039,"Amoureux, Les (1994)","Romance"
43536,"Anal-Europe Series 7, The (1994) (V)","Adult"
43931,"Andel milosrdenství (1994)","Romance"
43932,"Andel milosrdenství (1994)","War"
43933,"Andel milosrdenství (1994)","Drama"
44150,"Andy Clyde Gets Spring Chicken (1939)","Comedy"
44151,"Andy Clyde Gets Spring Chicken (1939)","Short"
45218,"Anna - annA (1993)","Family"
45219,"Anna - annA (1993)","Fantasy"
47201,"Arabic Numeral Series 10 (1981)","Short"
48104,"Ata quheshin Arbër (1973)","Documentary"
48105,"Ata quheshin Arbër (1973)","Short"
48402,"Atomic Kid, The (1954)","Comedy"
